6
0 0.000000000000e+00
1.937456271681e-02 -7.270117949770e-04 8.617293069125e-02
-6.291035707293e-02 3.284418752572e-02 -4.637840024175e-03
-4.235377455211e-03 -1.433866440078e-02 1.008924076664e-02
-5.428326717731e-03 9.346363620496e-02 4.671455580791e-03
6
60 1.800000000000e+00
9.359839429948e-02 -4.673089131396e-02 -9.986385780334e-02
5.285743421130e-03 -8.833012517602e-02 -4.190187080706e-02
1.896850328117e-02 -3.729459457163e-04 8.350386264996e-02
-5.993145391003e-02 3.135890400343e-02 -5.192687260247e-03
-3.856046173724e-03 -1.434413651866e-02 9.523029320099e-03
-5.216778939416e-03 9.295855950584e-02 4.354675186964e-03
6
61 1.830000000000e+00
9.841933432353e-02 -4.928049554516e-02 -1.080926769280e-01
5.949995076589e-03 -8.873668054521e-02 -4.280761766376e-02
1.860181828244e-02 -3.630526776621e-05 8.099528340464e-02
-5.711992155575e-02 2.995855679035e-02 -5.743059344662e-03
-3.478773646500e-03 -1.434658428588e-02 8.967940303206e-03
-5.009493438567e-03 9.246564154848e-02 4.051089070227e-03
6
62 1.860000000000e+00
1.030611823917e-01 -5.174485539859e-02 -1.161120493856e-01
6.595371704535e-03 -8.912344723372e-02 -4.368620304732e-02
1.827433608384e-02 2.828805088504e-04 7.864655289360e-02
-5.447524556968e-02 2.864296492066e-02 -6.288459573559e-03
-3.104107891089e-03 -1.434633367741e-02 8.424396631845e-03
-4.806494300212e-03 9.198532374564e-02 3.760182824318e-03
6
63 1.890000000000e+00
1.074991182871e-01 -5.411063897233e-02 -1.238871382610e-01
7.222645838364e-03 -8.949358093686e-02 -4.454623163811e-02
1.798575947990e-02 5.846891543164e-04 7.645669631971e-02
-5.199650349872e-02 2.741173671494e-02 -6.828305159576e-03
-2.732554731635e-03 -1.434369927254e-02 7.892745164870e-03
-4.607793724621e-03 9.151797382907e-02 3.481429689706e-03
6
64 1.920000000000e+00
1.117041668899e-01 -5.636128524109e-02 -1.313716905132e-01
7.832573534503e-03 -8.984992317349e-02 -4.539517591004e-02
1.773542054827e-02 8.693970613469e-04 7.442455116187e-02
-4.968246017578e-02 2.626431399745e-02 -7.361794351096e-03
-2.364578426705e-03 -1.433898486898e-02 7.373261490430e-03
-4.413394518129e-03 9.106389321859e-02 3.214298177896e-03
6
65 1.950000000000e+00
1.156586712139e-01 -5.848762277301e-02 -1.385298517170e-01
8.425832757578e-03 -9.019492155050e-02 -4.623935686252e-02
1.752234832090e-02 1.137358498091e-03 7.254897806090e-02
-4.753198744773e-02 2.520019594424e-02 -7.887799638857e-03
-2.000602063065e-03 -1.433248423503e-02 6.866149438772e-03
-4.223291635224e-03 9.062332323296e-02 2.958256153489e-03
6
66 1.980000000000e+00
1.193749505773e-01 -6.050025494149e-02 -1.453666151122e-01
9.003025933301e-03 -9.053072375070e-02 -4.708396253502e-02
1.734556435953e-02 1.388823356089e-03 7.082887989355e-02
-4.554424413906e-02 2.421901928358e-02 -8.405129306717e-03
-1.641008200266e-03 -1.432448231046e-02 6.371537453786e-03
-4.037472196743e-03 9.019644650963e-02 2.712769006803e-03
6
67 2.010000000000e+00
1.228831012806e-01 -6.241687445572e-02 -1.519220709439e-01
9.564739627123e-03 -9.085927058745e-02 -4.793319325086e-02
1.720432617547e-02 1.623908452561e-03 6.926306954732e-02
